lat|lng|Gedung|R.K.|Colocated
-6.892422351|107.6098083|Aula Barat||
-6.892396449|107.6110529|Aula Timur||
-6.891789634|107.6084645|Basic Science A| BSC|
-6.889010024|107.6118802|Basic Science B| BSC|
-6.891250677|107.6099926|Campus Center Barat||
-6.891227675|107.6107221|Campus Center Timur||
-6.890811329|107.6122478|Direktorat SP||
-6.89175007|107.6089219|Fisika||
-6.891639197|107.608931|Fisika||
-6.891365439|107.6092974|Fisika||
-6.892754911|107.6107215|FSRD||
-6.892767967|107.6101681|FTSL||
-6.890059571|107.6119654|Gedung Hidrolik||
-6.889637663|107.6120374|Gedung Kimia||
-6.891435274|107.6084669|Gedung KO||
-6.888215426|107.6100489|Gedung Riset dan Inovasi||LPPM, PAU-ME
-6.889333646|107.6119968|Gedung Kimia||
-6.890356785|107.6088368|GKU Barat|9103 9104 9107 9108 9114 9115 9116 9121 9122 9123 9124 9125 9126 9127 9128 9131 9132 9133 9134 9135 9136 9137 9138|
-6.890324034|107.6121123|GKU Timur|9212 9213 9214 9221 9222 9223 9224 9231 9232 9233 9234|
-6.891334647|107.6088502|Kantor Fisika||
-6.891573395|107.6084378|Lab Adiwiyogo||
-6.891228213|107.6085114|Lab Elektronika||
-6.889028602|107.6107444|Lab Kimia, Fisika Dasar||ComLabs
-6.890834052|107.609029|Lab Konversi||
-6.889388743|107.6086263|Lab Metalurgi||
-6.889448094|107.6107653|Lab PLN||
-6.890575115|107.6084207|Lab Radar||
-6.88927726|107.6112114|Labtek I|9401 9402 9404 9405|
-6.889893089|107.6085399|Labtek II||
-6.888629922|107.60867|Labtek III||
-6.888383413|107.6121412|Labtek IV||
-6.89152316|107.6113496|Labtek IX A||
-6.891888276|107.6119074|Labtek IX B||
-6.891515977|107.6119035|Labtek IX C||
-6.890541798|107.6097816|Labtek V|9301 9302 9303 9304 9305 9306 9315|
-6.890173062|107.6097182|Labtek VI|9307 9308 9309 9310 9311 9312 9313 9314|
-6.890144498|107.6109846|Labtek VII|9012 9013 9014|
-6.890514273|107.6109177|Labtek VIII|9011 9015|STEI, FMIPA, Lab Telematika
-6.889017113|107.6094275|Labtek X||
-6.889528269|107.609442|Labtek XI||
-6.892023079|107.6109841|LFM|9009|
-6.890570141|107.612288|Magister Geodesi||
-6.889035707|107.6100417|Oktagon|9016 9017 9018 9019 9020 9021 9025 9026 9027|
-6.89171161|107.6093311|Pengembangan SDA||
-6.888888768|107.6122759|Perminyakan||
-6.888249972|107.6107307|Perpustakaan||
-6.88868651|107.612018|Pertambangan||
-6.890935358|107.6121611|Pos Keamanan||
-6.887924109|107.6116144|PSDA, Kantor PPE, Pool||
-6.891608903|107.6098474|Ruang UKM||
-6.888041097|107.6089258|SBM||
-6.892227739|107.6116276|Seni Rupa||
-6.891910688|107.6114016|Seni Rupa||
-6.890937504|107.6122279|Seni Rupa Tekstil||
-6.890998932|107.6122097|Seni Rupa Tekstil||
-6.890995848|107.6123145|Seni Rupa Tekstil||
-6.891210571|107.6123015|Seni Rupa Tekstil||
-6.891186734|107.611614|Teknik Lingkungan||
-6.891956989|107.6092184|Teknik Sipil||
-6.892154029|107.609258|Teknik Sipil||
-6.892133644|107.6106825|Toko, Bank, ATM||
-6.889495933|107.6100723|TVST|9022 9023 9024|
-6.887957039|107.6118963|UPT Logistik||
